Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
medicine,beginner,solo,masters,introvert,practical,low,average,moderate,low,computer vision engineer
technology,intermediate,solo,bachelors,thinker,creative,low,outstanding,strong,exceptional,automation engineer
science,expert,flexible,diploma,introvert,intuitive,low,outstanding,collaborative,very high,network engineer
art,beginner,flexible,phd,extrovert,logical,high,poor,collaborative,medium,data engineer
science,intermediate,flexible,diploma,introvert,creative,very high,excellent,strong,exceptional,bioinformatics scientist
medicine,intermediate,remote,high school,leader,analytical,high,outstanding,strong,low,research scientist
business,advanced,remote,masters,thinker,practical,very high,poor,moderate,low,technical writer
medicine,beginner,team,masters,leader,practical,high,average,visionary,medium,research scientist
science,beginner,team,bachelors,leader,analytical,high,outstanding,visionary,very high,mobile app developer
medicine,advanced,office,diploma,extrovert,creative,high,poor,collaborative,very high,mobile app developer
art,intermediate,solo,masters,leader,practical,high,excellent,collaborative,low,automation engineer
science,intermediate,solo,phd,thinker,logical,high,excellent,collaborative,exceptional,algorithm engineer
science,advanced,flexible,high school,doer,analytical,high,excellent,collaborative,very high,iot specialist
business,beginner,office,phd,extrovert,logical,medium,excellent,strong,medium,automation engineer
business,intermediate,office,phd,extrovert,logical,high,excellent,visionary,low,qa engineer
business,intermediate,remote,bachelors,doer,logical,very high,outstanding,visionary,medium,iot specialist
business,expert,team,masters,thinker,creative,low,excellent,collaborative,exceptional,embedded systems engineer
science,expert,team,bachelors,introvert,creative,high,poor,collaborative,very high,hardware engineer
technology,beginner,team,high school,leader,logical,high,fluent,strong,low,bioinformatics scientist
medicine,intermediate,solo,high school,introvert,creative,high,poor,moderate,exceptional,data analyst
art,advanced,solo,phd,thinker,creative,high,outstanding,moderate,very high,embedded systems engineer
art,intermediate,flexible,phd,leader,intuitive,medium,outstanding,moderate,low,embedded systems engineer
business,advanced,solo,masters,doer,logical,high,poor,visionary,high,product manager
science,beginner,remote,phd,introvert,intuitive,low,excellent,collaborative,high,robotics engineer
art,advanced,remote,high school,doer,intuitive,medium,average,collaborative,high,cybersecurity analyst
science,expert,team,bachelors,leader,intuitive,high,poor,collaborative,medium,network engineer
business,advanced,flexible,phd,thinker,intuitive,very high,outstanding,visionary,exceptional,bioinformatics scientist
business,advanced,team,high school,thinker,intuitive,low,outstanding,visionary,low,data scientist
art,advanced,team,high school,introvert,intuitive,low,fluent,moderate,medium,deep learning engineer
business,expert,remote,bachelors,thinker,analytical,high,outstanding,strong,medium,data scientist
science,advanced,office,bachelors,thinker,logical,low,fluent,strong,medium,financial analyst
science,expert,solo,bachelors,introvert,intuitive,very high,outstanding,collaborative,high,web developer
medicine,beginner,team,diploma,leader,analytical,high,outstanding,visionary,very high,data scientist
art,advanced,team,phd,leader,logical,high,poor,moderate,high,solutions architect
business,expert,flexible,high school,doer,practical,low,fluent,collaborative,high,ui/ux designer
business,beginner,office,high school,extrovert,creative,low,average,collaborative,very high,iot specialist
science,beginner,flexible,bachelors,leader,practical,high,outstanding,collaborative,high,game developer
business,advanced,team,phd,introvert,logical,low,average,strong,exceptional,bioinformatics scientist
science,expert,solo,bachelors,thinker,practical,high,poor,visionary,low,system architect
art,advanced,team,bachelors,extrovert,intuitive,medium,poor,strong,medium,database administrator
medicine,intermediate,solo,masters,introvert,intuitive,high,excellent,collaborative,very high,algorithm engineer
medicine,advanced,solo,masters,introvert,analytical,medium,outstanding,collaborative,exceptional,robotics engineer
medicine,beginner,team,masters,thinker,intuitive,very high,excellent,collaborative,low,data analyst
medicine,intermediate,office,high school,leader,analytical,low,outstanding,collaborative,very high,financial analyst
technology,beginner,office,high school,extrovert,intuitive,high,excellent,collaborative,low,ui/ux designer
medicine,expert,team,diploma,doer,creative,medium,average,strong,low,embedded systems engineer
science,advanced,solo,masters,doer,intuitive,low,poor,collaborative,low,mobile app developer
science,expert,solo,phd,leader,creative,low,outstanding,collaborative,low,web developer
art,intermediate,remote,high school,leader,analytical,high,poor,visionary,low,system architect
medicine,beginner,remote,diploma,introvert,logical,high,average,visionary,very high,site reliability engineer
science,advanced,remote,diploma,leader,creative,low,fluent,strong,exceptional,deep learning engineer
technology,beginner,solo,bachelors,thinker,logical,medium,excellent,visionary,medium,augmented reality developer
technology,beginner,office,diploma,doer,creative,high,poor,visionary,low,nlp engineer
technology,expert,team,diploma,thinker,analytical,very high,fluent,strong,exceptional,game developer
science,expert,flexible,high school,thinker,logical,very high,excellent,strong,high,nlp engineer
technology,beginner,solo,masters,extrovert,intuitive,very high,outstanding,moderate,medium,augmented reality developer
medicine,advanced,flexible,diploma,thinker,logical,high,excellent,collaborative,high,cloud architect
art,advanced,flexible,bachelors,leader,analytical,high,fluent,collaborative,low,algorithm engineer
science,advanced,team,diploma,introvert,analytical,high,fluent,strong,very high,algorithm engineer
technology,expert,solo,high school,introvert,logical,medium,poor,collaborative,high,algorithm engineer
science,advanced,team,high school,leader,creative,high,poor,collaborative,medium,algorithm engineer
science,expert,office,phd,thinker,creative,high,excellent,strong,very high,ui/ux designer
technology,intermediate,team,diploma,doer,analytical,very high,excellent,strong,high,automation engineer
business,intermediate,office,phd,thinker,analytical,medium,poor,strong,high,algorithm engineer
technology,advanced,office,diploma,leader,practical,high,excellent,collaborative,medium,nlp engineer
business,intermediate,team,masters,thinker,analytical,low,average,collaborative,low,embedded systems engineer
medicine,advanced,office,masters,extrovert,creative,high,poor,collaborative,high,web developer
business,expert,team,masters,thinker,intuitive,medium,poor,collaborative,very high,augmented reality developer
science,advanced,team,phd,leader,practical,low,poor,moderate,high,data scientist
medicine,expert,team,diploma,leader,logical,low,fluent,visionary,medium,database administrator
business,advanced,remote,masters,thinker,intuitive,medium,outstanding,collaborative,high,database administrator
medicine,expert,solo,phd,doer,creative,medium,excellent,visionary,low,ui/ux designer
science,expert,flexible,masters,leader,analytical,low,average,moderate,low,algorithm engineer
science,advanced,team,phd,thinker,practical,high,poor,visionary,medium,software engineer
art,beginner,solo,high school,thinker,creative,medium,outstanding,collaborative,medium,speech recognition specialist
medicine,beginner,team,masters,doer,creative,medium,outstanding,strong,low,system architect
technology,expert,team,masters,leader,analytical,medium,poor,collaborative,medium,financial analyst
technology,advanced,team,diploma,thinker,analytical,medium,fluent,strong,very high,full stack developer
business,beginner,solo,phd,thinker,intuitive,very high,poor,visionary,exceptional,database administrator
medicine,advanced,flexible,high school,introvert,creative,medium,average,strong,very high,business analyst
science,advanced,team,diploma,leader,creative,high,poor,collaborative,very high,full stack developer
technology,beginner,office,bachelors,extrovert,intuitive,high,fluent,moderate,very high,network engineer
technology,expert,remote,phd,thinker,intuitive,low,average,moderate,low,ui/ux designer
art,intermediate,remote,masters,doer,creative,low,poor,strong,low,financial analyst
business,expert,remote,phd,doer,logical,high,excellent,collaborative,low,technical writer
science,advanced,solo,masters,introvert,logical,low,average,visionary,medium,technical writer
business,intermediate,team,phd,doer,creative,medium,excellent,moderate,exceptional,solutions architect
technology,beginner,flexible,masters,extrovert,practical,low,poor,collaborative,very high,research scientist
business,advanced,solo,masters,leader,analytical,medium,fluent,moderate,very high,iot specialist
science,advanced,solo,diploma,extrovert,practical,high,average,collaborative,very high,blockchain developer
business,advanced,remote,diploma,introvert,intuitive,low,poor,collaborative,low,network engineer
business,beginner,team,phd,extrovert,intuitive,low,outstanding,strong,low,computer vision engineer
art,beginner,team,masters,leader,creative,high,fluent,collaborative,low,business analyst
art,advanced,flexible,phd,thinker,practical,very high,average,strong,high,mobile app developer
art,beginner,remote,diploma,extrovert,creative,low,outstanding,collaborative,low,game developer
business,expert,flexible,phd,introvert,creative,low,excellent,strong,very high,algorithm engineer
